pet,len,wid,rat,cir,species
0.61,11.02,5.21,2.12,0.75,bidoupensis
0.58,11.55,5.03,2.3,0.74,bidoupensis
0.35,9.1,3.72,2.45,0.64,bidoupensis
0.32,9.72,4.26,2.28,0.71,bidoupensis
0.35,8.99,4.16,2.16,0.67,bidoupensis
0.43,10.05,4.93,2.04,0.74,bidoupensis
0.31,6.55,2.79,2.35,0.66,bidoupensis
0.61,9.92,4.29,2.31,0.71,bidoupensis
0.49,9.09,3.86,2.35,0.7,bidoupensis
0.63,9.41,4.43,2.12,0.66,bidoupensis
0.53,9.74,5.28,1.84,0.77,bidoupensis
0.53,10.28,5.31,1.94,0.74,bidoupensis
0.53,9.75,4.51,2.16,0.75,bidoupensis
0.45,9.19,4.46,2.06,0.71,bidoupensis
0.54,9.82,4.76,2.06,0.72,bidoupensis
0.58,9.64,4.25,2.27,0.69,bidoupensis
0.53,10,4.93,2.03,0.69,bidoupensis
0.64,11.06,4.98,2.22,0.72,bidoupensis
0.44,9.4,4.58,2.05,0.74,bidoupensis
0.57,10.43,4.54,2.3,0.68,bidoupensis
0.4,7.45,3.73,2,0.75,bidoupensis
0.59,11.05,4.84,2.28,0.69,bidoupensis
0.55,10.81,4.67,2.31,0.73,bidoupensis
2.4,13.21,4.51,2.93,0.61,blaoensis
2.19,15.26,4.86,3.14,0.54,blaoensis
2.08,12.7,4.44,2.86,0.58,blaoensis
2.19,14.43,3.75,3.85,0.51,blaoensis
1.84,13.28,3.83,3.47,0.58,blaoensis
2.16,15.21,4.48,3.4,0.5,blaoensis
1.98,10.6,3.58,2.96,0.58,blaoensis
1.87,17.96,5.02,3.58,0.53,blaoensis
1.92,13.62,4.82,2.83,0.59,blaoensis
1.97,16.18,4.53,3.57,0.52,blaoensis
1.89,15.68,4.77,3.29,0.54,blaoensis
1.71,13.89,4.67,2.97,0.63,blaoensis
1.9,13.49,5.03,2.68,0.65,blaoensis
1.95,14.7,4.47,3.29,0.55,blaoensis
1.97,14.44,4.07,3.55,0.54,blaoensis
1.51,9.68,3.36,2.88,0.59,blaoensis
1.8,12.38,3.72,3.33,0.55,blaoensis
1.86,13.68,5.02,2.73,0.66,blaoensis
1.56,11.27,4.64,2.43,0.71,blaoensis
1.61,13.5,4.46,3.03,0.57,blaoensis
1.44,11.42,4.03,2.83,0.61,blaoensis
1.82,14.01,5,2.8,0.64,blaoensis
1.05,12.05,3.25,3.71,0.51,licentii
0.97,12.27,4.29,2.86,0.60,licentii
0.83,10.84,3.34,3.25,0.52,licentii
0.99,10.45,3.53,2.96,0.58,licentii
0.76,8.48,2.96,2.86,0.61,licentii
0.88,12.19,4.12,2.96,0.56,licentii
0.76,11.56,3.20,3.61,0.51,licentii
0.60,10.37,3.30,3.14,0.51,licentii
0.60,7.24,2.49,2.91,0.56,licentii
0.80,9.97,3.66,2.72,0.58,licentii
0.76,14.15,4.35,3.25,0.52,licentii
0.90,15.79,4.31,3.66,0.43,licentii
0.91,9.89,3.27,3.02,0.58,licentii
0.80,10.55,3.49,3.02,0.55,licentii
0.51,8.54,2.56,3.34,0.53,licentii
0.91,12.38,3.95,3.13,0.55,licentii
0.78,8.76,3.53,2.48,0.64,licentii
0.74,9.75,3.21,3.04,0.51,licentii
0.78,9.85,3.17,3.11,0.54,licentii
0.90,10.02,3.31,3.03,0.59,licentii
