pet,len,wid,rat,cir,species
2.40,13.21,4.51,2.93,0.61,blaoensis
2.19,15.26,4.86,3.14,0.54,blaoensis
2.08,12.70,4.44,2.86,0.58,blaoensis
2.19,14.43,3.75,3.85,0.51,blaoensis
1.84,13.28,3.83,3.47,0.58,blaoensis
2.16,15.21,4.48,3.40,0.50,blaoensis
1.98,10.60,3.58,2.96,0.58,blaoensis
1.87,17.96,5.02,3.58,0.53,blaoensis
1.92,13.62,4.82,2.83,0.59,blaoensis
1.97,16.18,4.53,3.57,0.52,blaoensis
1.89,15.68,4.77,3.29,0.54,blaoensis
1.71,13.89,4.67,2.97,0.63,blaoensis
1.90,13.49,5.03,2.68,0.65,blaoensis
1.95,14.70,4.47,3.29,0.55,blaoensis
1.97,14.44,4.07,3.55,0.54,blaoensis
1.51,9.68,3.36,2.88,0.59,blaoensis
1.80,12.38,3.72,3.33,0.55,blaoensis
1.86,13.68,5.02,2.73,0.66,blaoensis
1.56,11.27,4.64,2.43,0.71,blaoensis
1.61,13.50,4.46,3.03,0.57,blaoensis
1.44,11.42,4.03,2.83,0.61,blaoensis
1.82,14.01,5.00,2.80,0.64,blaoensis
